company,product,typename,inches,opsys,price_euros,resolution_width,resolution_height,aspect_ratio,resolution_type,touchscreen,cpu_manufacturer,cpu_model,cpu_clock_speed_GHz,ram_gb,storage_capacity1,storage_capacity2,storage_type1,storage_type2,weight_kg,gpu_brand,gpu_model,total_pixels
Apple,MacBook Pro,Ultrabook,13.3,macOS,1339.69,2560,1600,1.6,IPS Panel Retina Display,No,Intel,Core i5,2.3,8,128,0,SSD,None,1.37,Intel Iris Plus Graphics,640,4096000
Apple,Macbook Air,Ultrabook,13.3,macOS,898.94,1440,900,1.6,Other,No,Intel,Core i5,1.8,8,128,0,FlashStorage,None,1.34,Intel HD Graphics,6000,1296000
HP,250 G6,Notebook,15.6,No OS,575,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.86,Intel HD Graphics,620,2073600
Apple,MacBook Pro,Ultrabook,15.4,macOS,2537.45,2880,1800,1.6,IPS Panel Retina Display,No,Intel,Core i7,2.7,16,512,0,SSD,None,1.83,AMD Radeon Pro,455,5184000
Apple,MacBook Pro,Ultrabook,13.3,macOS,1803.6,2560,1600,1.6,IPS Panel Retina Display,No,Intel,Core i5,3.1,8,256,0,SSD,None,1.37,Intel Iris Plus Graphics,650,4096000
Acer,Aspire 3,Notebook,15.6,Windows 10,400,1366,768,1.778645833,Other,No,AMD,A9-Series 9420,3,4,500,0,HDD,None,2.1,AMD Radeon R,5,1049088
Apple,MacBook Pro,Ultrabook,15.4,Mac OS X,2139.97,2880,1800,1.6,IPS Panel Retina Display,No,Intel,Core i7,2.2,16,256,0,FlashStorage,None,2.04,,,5184000
Apple,Macbook Air,Ultrabook,13.3,macOS,1158.7,1440,900,1.6,Other,No,Intel,Core i5,1.8,8,256,0,FlashStorage,None,1.34,Intel HD Graphics,6000,1296000
Asus,ZenBook UX430UN,Ultrabook,14,Windows 10,1495,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,16,512,0,SSD,None,1.3,Nvidia GeForce MX,150,2073600
Acer,Swift 3,Ultrabook,14,Windows 10,770,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,1.6,Intel UHD Graphics,620,2073600
HP,250 G6,Notebook,15.6,No OS,393.9,1366,768,1.778645833,Other,No,Intel,Core i5 7200U,2.5,4,500,0,HDD,None,1.86,Intel HD Graphics,620,1049088
HP,250 G6,Notebook,15.6,No OS,344.99,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,500,0,HDD,None,1.86,Intel HD Graphics,520,2073600
Apple,MacBook Pro,Ultrabook,15.4,macOS,2439.97,2880,1800,1.6,IPS Panel Retina Display,No,Intel,Core i7,2.8,16,256,0,SSD,None,1.83,AMD Radeon Pro,555,5184000
Dell,Inspiron 3567,Notebook,15.6,Windows 10,498.9,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,256,0,SSD,None,2.2,AMD Radeon R,5,2073600
Apple,"MacBook 12""",Ultrabook,12,macOS,1262.4,2304,1440,1.6,IPS Panel Retina Display,No,Intel,Core M m3,1.2,8,256,0,SSD,None,0.92,Intel HD Graphics,615,3317760
Apple,MacBook Pro,Ultrabook,13.3,macOS,1518.55,2560,1600,1.6,IPS Panel Retina Display,No,Intel,Core i5,2.3,8,256,0,SSD,None,1.37,Intel Iris Plus Graphics,640,4096000
Dell,Inspiron 3567,Notebook,15.6,Windows 10,745,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,2.2,AMD Radeon R,5,2073600
Apple,MacBook Pro,Ultrabook,15.4,macOS,2858,2880,1800,1.6,IPS Panel Retina Display,No,Intel,Core i7,2.9,16,512,0,SSD,None,1.83,AMD Radeon Pro,560,5184000
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,No OS,499,1920,1080,1.777777778,Full HD,No,Intel,Core i3 7100U,2.4,8,1000,0,HDD,None,2.2,Nvidia GeForce,940,2073600
Dell,XPS 13,Ultrabook,13.3,Windows 10,979,1920,1080,1.777777778,IPS Panel Full HD,Yes,Intel,Core i5 8250U,1.6,8,128,0,SSD,None,1.22,Intel UHD Graphics,620,2073600
Asus,Vivobook E200HA,Netbook,11.6,Windows 10,191.9,1366,768,1.778645833,Other,No,Intel,Atom x5-Z8350,1.44,2,32,0,FlashStorage,None,0.98,Intel HD Graphics,400,1049088
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Windows 10,999,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 7300HQ,2.5,8,128,1000,SSD,HDD,2.5,Nvidia GeForce GTX,1050,2073600
HP,255 G6,Notebook,15.6,No OS,258,1366,768,1.778645833,Other,No,AMD,E-Series E2-9000e,1.5,4,500,0,HDD,None,1.86,AMD Radeon R,2,1049088
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Windows 10,819,1920,1080,1.777777778,Full HD,Yes,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,1.62,Intel UHD Graphics,620,2073600
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Windows 10,659,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,1.91,Intel HD Graphics,620,2073600
Dell,Inspiron 3567,Notebook,15.6,Windows 10,418.64,1366,768,1.778645833,Other,No,Intel,Core i3 6006U,2,4,1000,0,HDD,None,2.3,Intel HD Graphics,520,1049088
Apple,MacBook Air,Ultrabook,13.3,Mac OS X,1099,1440,900,1.6,Other,No,Intel,Core i5,1.6,8,128,0,FlashStorage,None,1.35,Intel HD Graphics,6000,1296000
Dell,Inspiron 5570,Notebook,15.6,Windows 10,800,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,2.2,AMD Radeon,530,2073600
Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1298,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8650U,1.9,8,256,256,SSD,SSD,1.88,Intel UHD Graphics,620,2073600
HP,ProBook 470,Notebook,17.3,Windows 10,896,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,1000,0,HDD,None,2.5,Nvidia GeForce,930,2073600
Chuwi,"LapBook 15.6""",Notebook,15.6,Windows 10,244.99,1920,1080,1.777777778,Full HD,No,Intel,Atom x5-Z8300,1.44,4,64,0,FlashStorage,None,1.89,,,2073600
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14,Windows 10,199,1366,768,1.778645833,Other,No,AMD,E-Series E2-6110,1.5,2,32,0,FlashStorage,None,1.65,AMD Radeon R,2,1049088
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Windows 10,439,1920,1080,1.777777778,Full HD,No,AMD,A6-Series 9220,2.5,4,500,0,HDD,None,2.71,AMD Radeon,530,2073600
Dell,XPS 13,Ultrabook,13.3,Windows 10,1869,3200,1800,1.777777778,Touchscreen,Yes,Intel,Core i7 8550U,1.8,16,512,0,SSD,None,1.2,Intel UHD Graphics,620,5760000
Apple,MacBook Air,Ultrabook,13.3,Mac OS X,998,1440,900,1.6,Other,No,Intel,Core i5,1.6,8,256,0,FlashStorage,None,1.35,Intel HD Graphics,6000,1296000
Lenovo,IdeaPad 120S-14IAP,Notebook,14,Windows 10,249,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3350,1.1,4,64,0,FlashStorage,None,1.44,Intel HD Graphics,500,1049088
Acer,Aspire 3,Notebook,15.6,Linux,367,1366,768,1.778645833,Other,No,Intel,Core i3 7130U,2.7,4,1000,0,HDD,None,2.1,Intel HD Graphics,620,1049088
Dell,Inspiron 5770,Notebook,17.3,Windows 10,979,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,8,128,1000,SSD,HDD,2.8,AMD Radeon,530,2073600
HP,250 G6,Notebook,15.6,Windows 10,488.69,1366,768,1.778645833,Other,No,Intel,Core i5 7200U,2.5,4,1000,0,HDD,None,1.86,Intel HD Graphics,620,1049088
HP,ProBook 450,Notebook,15.6,Windows 10,879,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,2.1,Nvidia GeForce,930,2073600
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Linux,389,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,1000,0,HDD,None,2,Intel HD Graphics,620,2073600
Dell,Inspiron 7577,Gaming,15.6,Windows 10,1499,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,16,256,1000,SSD,HDD,2.65,Nvidia GeForce GTX,1060,2073600
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,Linux,522.99,1366,768,1.778645833,Other,No,Intel,Core i5 7200U,2.5,8,1000,0,HDD,None,2.3,Nvidia GeForce,940,1049088
Acer,Aspire A515-51G,Notebook,15.6,Windows 10,682,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,4,256,0,SSD,None,2.2,Intel UHD Graphics,620,2073600
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Windows 10,999,1920,1080,1.777777778,Full HD,Yes,Intel,Core i5 8250U,1.6,12,1000,0,HDD,None,2.77,Nvidia GeForce,150,2073600
Apple,MacBook Pro,Ultrabook,13.3,macOS,1419,2560,1600,1.6,IPS Panel Retina Display,No,Intel,Core i5,2,8,256,0,SSD,None,1.37,Intel Iris Graphics,540,4096000
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,No OS,369,1366,768,1.778645833,Other,No,Intel,Core i3 6006U,2,4,128,0,SSD,None,2.2,Intel HD Graphics,520,1049088
Asus,Rog Strix,Gaming,17.3,Windows 10,1299,1920,1080,1.777777778,Full HD,No,AMD,Ryzen 1700,3,8,256,1000,SSD,HDD,3.2,AMD Radeon RX,580,2073600
Dell,Inspiron 3567,Notebook,15.6,Windows 10,639,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,4,256,0,SSD,None,2.3,AMD Radeon R,5,2073600
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,Windows 10,466,1366,768,1.778645833,Other,No,Intel,Pentium Quad Core N4200,1.1,4,1000,0,HDD,None,2.8,Nvidia GeForce,920,1049088
Lenovo,Yoga Book,2 in 1 Convertible,10.1,Android,319,1920,1200,1.6,IPS Panel Touchscreen,Yes,Intel,Atom x5-Z8550,1.44,4,64,0,FlashStorage,None,0.69,Intel HD Graphics,400,2304000
Acer,Aspire A515-51G,Notebook,15.6,Windows 10,841,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,2.2,Nvidia GeForce MX,150,2073600
HP,255 G6,Notebook,15.6,Windows 10,398.49,1920,1080,1.777777778,Full HD,No,AMD,A6-Series 9220,2.5,4,256,0,SSD,None,1.86,AMD Radeon R,4,2073600
HP,ProBook 430,Notebook,13.3,Windows 10,1103,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,512,0,SSD,None,1.49,Intel UHD Graphics,620,2073600
Acer,Aspire 3,Notebook,15.6,Windows 10,384,1366,768,1.778645833,Other,No,Intel,Core i3 7100U,2.4,4,1000,0,HDD,None,2.4,Intel HD Graphics,620,1049088
Dell,Inspiron 3576,Notebook,15.6,Windows 10,767.8,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,2.13,AMD Radeon,520,2073600
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Windows 10,439,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,128,0,SSD,None,1.91,Intel HD Graphics,520,2073600
Asus,VivoBook Max,Notebook,15.6,Windows 10,586.19,1366,768,1.778645833,Other,No,Intel,Core i5 7200U,2.5,4,256,0,SSD,None,2,Intel HD Graphics,620,1049088
MSI,GS73VR 7RG,Gaming,17.3,Windows 10,2449,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,16,256,2000,SSD,HDD,2.43,Nvidia GeForce GTX,1070,2073600
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Linux,415,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,256,0,SSD,None,2,Intel HD Graphics,520,2073600
Dell,Inspiron 5770,Notebook,17.3,Windows 10,1299,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,16,256,2000,SSD,HDD,2.8,AMD Radeon,530,2073600
Dell,Vostro 5471,Ultrabook,14,Windows 10,879,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,1.7,Intel UHD Graphics,620,2073600
Lenovo,IdeaPad 520S-14IKB,Notebook,14,No OS,599,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i3 7130U,2.7,8,256,0,SSD,None,1.7,Intel HD Graphics,620,2073600
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14,Windows 10,941,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,1.4,Intel UHD Graphics,620,2073600
HP,250 G6,Notebook,15.6,Windows 10,690,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.86,Intel HD Graphics,620,2073600
Asus,ZenBook Pro,Ultrabook,15.6,Windows 10,1983,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,16,512,0,SSD,None,1.8,Nvidia GeForce GTX,1050,2073600
HP,250 G6,Notebook,15.6,Windows 10,438.69,1366,768,1.778645833,Other,No,Intel,Core i3 6006U,2,4,500,0,HDD,None,1.86,AMD Radeon,520,1049088
HP,Stream 14-AX040wm,Notebook,14,Windows 10,229,1366,768,1.778645833,Other,No,Intel,Celeron Dual Core N3060,1.6,4,32,0,SSD,None,1.44,Intel HD Graphics,400,1049088
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Windows 10,549,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,4,1000,0,HDD,None,1.9,Intel HD Graphics,620,2073600
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Linux,949,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,12,1000,0,HDD,None,3,Nvidia GeForce GTX,1050,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,Windows 10 S,1089,2256,1504,1.5,Touchscreen,Yes,Intel,Core i5 7200U,2.5,4,128,0,SSD,None,1.252,Intel HD Graphics,620,3393024
Dell,Inspiron 5370,Ultrabook,13.3,Windows 10,955,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,1.4,AMD Radeon,530,2073600
Dell,Inspiron 5570,Notebook,15.6,Windows 10,870,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,2.2,AMD Radeon,530,2073600
MSI,GL72M 7RDX,Gaming,17.3,Windows 10,1095,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7300HQ,2.5,8,128,1000,SSD,HDD,2.7,Nvidia GeForce GTX,1050,2073600
Acer,Aspire E5-475,Notebook,14,Windows 10,389,1366,768,1.778645833,Other,No,Intel,Core i3 6006U,2,8,1000,0,HDD,None,2.1,Intel HD Graphics,520,1049088
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Windows 10,949,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,8,1000,0,HDD,None,2.2,Nvidia GeForce GTX,1050,2073600
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,519,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,2000,0,HDD,None,2.2,Intel HD Graphics,620,2073600
Dell,Inspiron 5570,Notebook,15.6,Windows 10,855,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,128,1000,SSD,HDD,2.02,Intel UHD Graphics,620,2073600
Acer,Aspire A515-51G-32MX,Notebook,15.6,Windows 10,530,1920,1080,1.777777778,Full HD,No,Intel,Core i3 7130U,2.7,4,1000,0,HDD,None,2.2,Nvidia GeForce MX,130,2073600
HP,ProBook 470,Notebook,17.3,Windows 10,977,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,128,1000,SSD,HDD,2.5,Nvidia GeForce,930,2073600
Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1096.16,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,1.88,Intel UHD Graphics,620,2073600
Apple,"MacBook 12""",Ultrabook,12,macOS,1510,2304,1440,1.6,IPS Panel Retina Display,No,Intel,Core i5,1.3,8,512,0,SSD,None,0.92,Intel HD Graphics,615,3317760
HP,ProBook 440,Notebook,14,Windows 10,860,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,1.63,Intel HD Graphics,620,2073600
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Windows 10,399,1920,1080,1.777777778,Full HD,No,AMD,A6-Series 9220,2.5,4,128,0,SSD,None,2.2,AMD R,4,2073600
Acer,Aspire 3,Notebook,15.6,Windows 10,395,1366,768,1.778645833,Other,No,AMD,A9-Series 9420,3,4,1000,0,HDD,None,2.1,AMD Radeon R,5,1049088
Dell,Inspiron 7577,Gaming,15.6,Windows 10,1349,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,16,128,1000,SSD,HDD,2.65,Nvidia GeForce GTX,1050,2073600
HP,Pavilion 15-CK000nv,Ultrabook,15.6,Windows 10,699,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,1.83,Nvidia GeForce GTX,940,2073600
HP,250 G6,Notebook,15.6,Windows 10,598.99,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.96,Intel HD Graphics,620,2073600
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Windows 10,1449,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,16,128,1000,SSD,HDD,2.2,Nvidia GeForce GTX,1060,2073600
Dell,XPS 13,Ultrabook,13.3,Windows 10,1649,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 8550U,1.8,8,256,0,SSD,None,1.21,Intel UHD Graphics,620,2073600
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Windows 10,699,1920,1080,1.777777778,Full HD,No,AMD,FX 9830P,3,8,1000,0,HDD,None,2.45,AMD Radeon RX,560,2073600
Acer,Aspire 5,Notebook,15.6,Windows 10,689,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,8,1000,0,HDD,None,2.2,Nvidia GeForce MX,150,2073600
HP,Probook 430,Notebook,13.3,Windows 10,1197,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,16,512,0,SSD,None,1.49,Intel UHD Graphics,620,2073600
Dell,Inspiron 7577,Gaming,15.6,Windows 10,1195,1920,1080,1.777777778,Full HD,No,Intel,Core i5 7300HQ,2.5,8,256,0,SSD,None,2.65,Nvidia GeForce GTX,1060,2073600
Asus,Zenbook UX430UA,Ultrabook,14,Windows 10,1049,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.25,Intel HD Graphics,620,2073600
Acer,Spin 5,2 in 1 Convertible,13.3,Windows 10,847,1920,1080,1.777777778,IPS Panel Full HD,Yes,Intel,Core i5 8250U,1.6,8,256,0,SSD,None,1.5,Intel UHD Graphics,620,2073600
Dell,Inspiron 3567,Notebook,15.6,Linux,599.9,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,1000,0,HDD,None,2.2,AMD Radeon R,5,2073600
Dell,Inspiron 3567,Notebook,15.6,Linux,485,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,256,0,SSD,None,2.2,AMD Radeon R,5,2073600
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Windows 10,577,1920,1080,1.777777778,Full HD,No,Intel,Core i3 7100U,2.4,6,256,0,SSD,None,2,Nvidia GeForce,920,2073600
HP,Omen 15-ce007nv,Gaming,15.6,Windows 10,1249,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7700HQ,2.8,12,128,1000,SSD,HDD,2.62,Nvidia GeForce GTX,1050,2073600
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Windows 10,719,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.91,AMD Radeon,530,2073600
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Windows 10,349,1920,1080,1.777777778,Full HD,No,AMD,E-Series E2-9000e,1.5,4,500,0,HDD,None,2.1,AMD Radeon R,2,2073600
Dell,Inspiron 3576,Notebook,15.6,Linux,647,1920,1080,1.777777778,Full HD,No,Intel,Core i5 8250U,1.6,8,1000,0,HDD,None,2.2,AMD Radeon,520,2073600
HP,Envy 13-ad009n,Ultrabook,13.3,Windows 10,1119,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.38,Nvidia GeForce MX,150,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,Windows 10 S,1340,2256,1504,1.5,Touchscreen,Yes,Intel,Core i5 7200U,2.5,8,256,0,SSD,None,1.252,Intel HD Graphics,620,3393024
HP,Pavilion 14-BK001nv,Notebook,14,Windows 10,659,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i5 7200U,2.5,6,256,0,SSD,None,1.58,Nvidia GeForce,940,2073600
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Windows 10,414.9,1920,1080,1.777777778,Full HD,No,Intel,Core i3 6006U,2,4,1000,0,HDD,None,1.85,Intel HD Graphics,520,2073600
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14,Windows 10,1193,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.3,Nvidia GeForce,940,2073600
MSI,GP62M 7REX,Gaming,15.6,Windows 10,1299,1920,1080,1.777777778,Full HD,No,Intel,Core i7 7700HQ,2.8,16,256,1000,SSD,HDD,2.2,Nvidia GeForce GTX,1050,2073600
Lenovo,Thinkpad T470,Notebook,14,Windows 10,1480,1920,1080,1.777777778,IPS Panel Full HD,No,Intel,Core i7 7500U,2.7,8,256,0,SSD,None,1.58,Intel HD Graphics,620,2073600
Asus,VivoBook S15,Ultrabook,15.6,Windows 10,1262,1920,1080,1.777777778,Full HD,No,Intel,Core i7 8550U,1.8,16,256,1000,SSD,HDD,1.5,Nvidia GeForce MX,150,2073600
